UserLock,,,,,,25/09/2018
Session history,,,,,,
"Configuration
  - Full sessions  
  - Logon without logoff  
  - Logoff without logon  
  - Logon denied by UserLock  
  - Logon denied by Active Directory  
  - Sub session  
Session types:  Interactive  

Sort filter
Sort field:  Logon time  
Sort order:  Ascending  

Events between 09/10/2017 00:00:00 and 22/12/2017 23:00:00 ",,,,,,
,,,,,"37868
result(s) found",
 ,,,,,,
Logon time,Logoff time,User,Domain,Computer,Client name,Client IP
09/10/2017 09:56,09/10/2017 12:25,********,EEECS,ECS1-1804,ECS1-1804,143.117.92.45
09/10/2017 09:57,09/10/2017 12:30,********,EEECS,ECS1-1903,ECS1-1903,143.117.92.49
09/10/2017 09:58,09/10/2017 11:48,********,EEECS,ECS2-4005,ECS2-4005,143.117.94.210
09/10/2017 09:58,09/10/2017 12:25,********,EEECS,ECS1-0502,ECS1-0502,143.117.92.78
09/10/2017 09:58,09/10/2017 12:11,********,EEECS,ECS1-0803,ECS1-0803,143.117.92.21
09/10/2017 09:59, -- ,********,EEECS,ECS1-0902,ECS1-0902,143.117.92.25
09/10/2017 09:59,09/10/2017 12:33,********,EEECS,ECS1-1802,ECS1-1802,143.117.92.43
09/10/2017 09:59,09/10/2017 12:30,********,EEECS,ECS1-1002,ECS1-1002,143.117.92.30
09/10/2017 09:59,09/10/2017 12:36,********,EEECS,ECS1-0805,ECS1-0805,143.117.92.23
09/10/2017 09:59,09/10/2017 12:32,********,EEECS,ECS1-1801,ECS1-1801,143.117.92.42
09/10/2017 10:00,09/10/2017 12:22,********,EEECS,ECS1-1705,ECS1-1705,143.117.92.41
09/10/2017 10:00,09/10/2017 11:09,********,EEECS,ECS1-0804,ECS1-0804,143.117.92.22
09/10/2017 10:00,09/10/2017 12:32,********,EEECS,ECS1-1703,ECS1-1703,143.117.92.39
09/10/2017 10:00,09/10/2017 12:24,********,EEECS,ECS1-2001,ECS1-2001,143.117.92.52
09/10/2017 10:00,09/10/2017 12:32,********,EEECS,ECS1-1701,ECS1-1701,143.117.92.37
09/10/2017 10:00,09/10/2017 12:24,********,EEECS,ECS1-2002,ECS1-2002,143.117.92.53
09/10/2017 10:01,09/10/2017 12:24,********,EEECS,ECS2-1705,ECS2-1705,143.117.94.93
09/10/2017 10:01,09/10/2017 13:13,********,EEECS,ECS1-0504,ECS1-0504,143.117.92.80
09/10/2017 10:02,09/10/2017 12:05,********,EEECS,ESC1-2103,ESC1-2103,143.117.92.106
09/10/2017 10:02,09/10/2017 10:08,********,EEECS,ESC1-2102,ESC1-2102,143.117.92.105
09/10/2017 10:02,09/10/2017 12:54,********,EEECS,ESC1-1503,ESC1-1503,143.117.92.103
09/10/2017 10:02,09/10/2017 11:19,********,EEECS,ECS1-0705,ECS1-0705,143.117.92.18
09/10/2017 10:03,09/10/2017 12:02,********,EEECS,ESC1-2104,ESC1-2104,143.117.92.107
09/10/2017 10:04,09/10/2017 12:53,********,EEECS,ESC1-1502,ESC1-1502,143.117.92.102
09/10/2017 10:05,09/10/2017 12:32,********,EEECS,ECS1-0503,ECS1-0503,143.117.92.79
09/10/2017 10:06,09/10/2017 12:26,********,EEECS,ECS1-1601,ECS1-1601,143.117.92.34
09/10/2017 10:06,09/10/2017 12:22,********,EEECS,ECS1-1704,ECS1-1704,143.117.92.40
09/10/2017 10:06,09/10/2017 10:56,********,EEECS,ECS2-0601,ECS2-0601,143.117.94.35
09/10/2017 10:07,09/10/2017 10:11,********,EEECS,ECS2-4001,ECS2-4001,143.117.94.206
09/10/2017 10:10,09/10/2017 10:55,********,EEECS,ESC1-2302,ESC1-2302,143.117.92.113
09/10/2017 10:14,09/10/2017 12:37,********,EEECS,ECS1-1904,ECS1-1904,143.117.92.50
09/10/2017 10:15,09/10/2017 12:09,********,EEECS,ECS2-3601,ECS2-3601,143.117.94.184
09/10/2017 10:15,09/10/2017 11:35,********,EEECS,ECS2-3603,ECS2-3603,143.117.94.186
09/10/2017 10:15,09/10/2017 10:56,********,EEECS,ECS2-3905,ECS2-3905,143.117.94.205
09/10/2017 10:16,09/10/2017 11:36,********,EEECS,ECS2-3602,ECS2-3602,143.117.94.185
09/10/2017 10:17,09/10/2017 12:07,********,EEECS,ECS2-2504,ECS2-2504,143.117.94.132
09/10/2017 10:21,09/10/2017 10:26,********,EEECS,ECS2-1203,ECS2-1203,143.117.94.66
09/10/2017 10:23,09/10/2017 12:56,********,EEECS,ESC1-2303,ESC1-2303,143.117.92.114
09/10/2017 10:27,09/10/2017 10:33,********,EEECS,ESC1-2203,ESC1-2203,143.117.92.110
09/10/2017 10:27,09/10/2017 11:33,********,EEECS,ECS2-2301,ECS2-2301,143.117.94.119
09/10/2017 10:29,09/10/2017 12:26,********,EEECS,ECS1-1805,ECS1-1805,143.117.92.46
09/10/2017 10:29,09/10/2017 10:58,********,EEECS,ECS2-0602,ECS2-0602,143.117.94.36
09/10/2017 10:32,09/10/2017 15:28,********,EEECS,ECS2-3302,ECS2-3302,143.117.94.168
09/10/2017 10:33,09/10/2017 11:35,********,EEECS,ECS2-1203,ECS2-1203,143.117.94.66
09/10/2017 10:37,09/10/2017 11:12,********,EEECS,ESC1-2706,ESC1-2706,143.117.92.139
09/10/2017 10:38,09/10/2017 10:56,********,EEECS,ECS2-0702,ECS2-0702,143.117.94.40
09/10/2017 10:41,09/10/2017 11:57,********,EEECS,ECS2-1405,ECS2-1405,143.117.94.78
09/10/2017 10:43,09/10/2017 11:49,********,EEECS,ECS2-1002,ECS2-1002,143.117.94.55
09/10/2017 10:51,09/10/2017 12:59,********,EEECS,ECS2-3102,ECS2-3102,143.117.94.158
