FacilityCampusAreaId,fkFacilityCampusId,FacilityCampusAreaEstatesSiteCode,FacilityCampusAreaName,FacilityCampusAreaDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,1,34,ASHBY,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:56:36.077,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.893
2,1,22,MALONE ROAD,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:56:36.077,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.893
3,1,58,TITANIC QUARTER,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-08 11:47:08.250,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.893
