WeatherReadingId,WeatherReadingWoeId,WeatherReadingDateTime,WeatherConditionMeasurementUnitsTemperature,WeatherConditionMeasurementUnitsDistance,WeatherConditionMeasurementUnitsPressure,WeatherConditionMeasurementUnitsSpeed,WeatherConditionText,WeatherConditionCode,WeatherConditionTemp,WeatherConditionDate,WeatherConditionWindChill,WeatherConditionWindDirection,WeatherConditionWindSpeed,WeatherConditionAtmosphereHumidity,WeatherConditionAtmosphereVisibility,WeatherConditionAtmospherePressure,WeatherConditionAtmosphereRising,WeatherConditionAstronomySunrise,WeatherConditionAstronomySunset,WeatherForecast0Low,WeatherForecast0High,WeatherForecast0Code,WeatherForecast1Low,WeatherForecast1High,WeatherForecast1Code,WeatherForecast2Low,WeatherForecast2High,WeatherForecast2Code,WeatherForecast3Low,WeatherForecast3High,WeatherForecast3Code,WeatherForecast4Low,WeatherForecast4High,WeatherForecast4Code,WeatherForecast5Low,WeatherForecast5High,WeatherForecast5Code,WeatherForecast6Low,WeatherForecast6High,WeatherForecast6Code,WeatherForecast7Low,WeatherForecast7High,WeatherForecast7Code,WeatherForecast8Low,WeatherForecast8High,WeatherForecast8Code,WeatherForecast9Low,WeatherForecast9High,WeatherForecast9Code,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
FC731EE9-3BDB-4405-BBC4-B08A5DEE39CA,26511403,2017-11-28 10:15:13.213,F,mi,in,mph,Partly Cloudy,30,41,"Tue, 28 Nov 2017 09:",36,325,14,78,16.1000003814697,1001,0,8:17 am,4:6 pm,38,46,12,35,42,30,34,41,28,33,44,28,41,47,28,42,47,28,41,45,28,41,45,28,38,42,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:15:13.310,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:15:13.310
C5C0A387-D3AD-4385-B621-B8DCFFD0B5CC,26375205,2017-11-28 10:13:34.220,F,mi,in,mph,Partly Cloudy,30,40,"Tue, 28 Nov 2017 09:",34,330,14,78,16.1000003814697,1000,0,8:17 am,4:6 pm,37,45,12,35,41,30,33,41,28,33,44,28,40,46,28,42,47,28,42,46,28,39,44,28,39,43,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.323,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.323
45CCD3CE-9396-48FB-9FF1-B9452ABE4D45,26706745,2017-11-28 10:13:34.530,F,mi,in,mph,Partly Cloudy,30,40,"Tue, 28 Nov 2017 09:",34,330,14,78,16.1000003814697,1001,0,8:17 am,4:6 pm,37,45,12,35,41,30,33,41,28,33,44,28,40,46,28,41,46,28,42,46,28,41,45,28,38,42,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.630,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.630
3991A05F-64FE-4444-B39B-CB60DAC33B8E,26382658,2017-11-24 16:10:23.593,F,mi,in,mph,Mostly Cloudy,28,38,"Fri, 24 Nov 2017 03:",32,245,14,90,15.3000001907349,997,0,8:10 am,4:10 pm,33,42,5,34,40,28,35,44,39,40,45,39,37,43,30,37,43,30,36,43,30,37,44,30,36,45,28,39,45,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:23.740,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:23.740
5B2FA3B8-59E0-463F-92AC-CC0B12C48AD5,27010405,2017-12-13 10:32:03.360,F,mi,in,mph,Showers,11,41,"Wed, 13 Dec 2017 09:",36,240,14,94,11.6000003814697,978,0,8:38 am,3:58 pm,34,42,12,34,39,28,33,41,34,31,38,30,33,43,12,34,45,26,43,49,26,43,46,28,43,47,26,43,47,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:03.473,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:03.473
845D5874-430D-4856-8701-CE2E1E9CB193,26362573,2017-11-24 16:09:17.573,F,mi,in,mph,Mostly Cloudy,28,38,"Fri, 24 Nov 2017 03:",32,245,14,90,15.3000001907349,997,0,8:10 am,4:10 pm,33,42,5,34,40,28,35,44,39,40,45,39,37,43,30,37,43,30,36,43,30,37,44,30,36,45,28,39,45,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:09.840,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:09.840
67968145-28E8-4810-B0D8-D35897867E05,26706745,2017-12-13 10:32:03.257,F,mi,in,mph,Showers,11,41,"Wed, 13 Dec 2017 09:",36,240,14,94,11.6000003814697,978,0,8:38 am,3:58 pm,34,42,12,34,39,28,33,41,34,31,38,30,33,43,12,34,45,26,43,49,26,43,46,28,43,47,26,43,47,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:03.357,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:03.357
39DC6A86-4AE9-4768-8E0A-E1492F02AE8A,26362573,2017-12-13 10:32:02.213,F,mi,in,mph,Showers,11,41,"Wed, 13 Dec 2017 09:",36,240,14,95,11.1000003814697,978,0,8:38 am,3:58 pm,34,42,12,34,39,28,33,41,34,31,38,30,33,43,12,34,45,26,43,49,26,43,46,28,43,47,26,45,48,23,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:02.897,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:02.897
FC1B9C29-EB6A-4D7E-97C4-E7882B4DAF70,27010405,2017-11-28 10:13:34.633,F,mi,in,mph,Partly Cloudy,30,40,"Tue, 28 Nov 2017 09:",34,330,14,78,16.1000003814697,1001,0,8:17 am,4:6 pm,37,45,12,35,41,30,33,41,28,33,44,28,40,46,28,41,46,28,42,46,28,41,45,28,38,42,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.773,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.773
C43C5641-A1D4-46DE-AC0B-F3989A24C797,27010405,2017-11-24 16:10:23.963,F,mi,in,mph,Mostly Cloudy,28,38,"Fri, 24 Nov 2017 03:",32,245,14,89,15.6999998092651,997,0,8:10 am,4:10 pm,33,42,5,34,40,28,35,44,39,40,45,39,37,43,30,37,43,30,36,43,30,37,44,30,36,45,28,39,45,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:24.063,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:24.063
C80D3E79-E9A0-4F36-8EDC-F5EB4113D66F,26382658,2017-11-28 10:15:13.110,F,mi,in,mph,Partly Cloudy,30,40,"Tue, 28 Nov 2017 09:",34,330,14,78,16.1000003814697,1000,0,8:17 am,4:6 pm,37,45,12,35,41,30,33,41,28,33,44,28,40,46,28,42,47,28,42,46,28,39,44,28,39,43,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:15:13.210,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:15:13.210
