OrganisationTypeId,OrganisationTypeName,OrganisationTypeDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,Institution,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
2,Faculty,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
4,School,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
