WeatherConditionCodeId,WeatherConditionDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
29,partly cloudy (night),1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
30,partly cloudy (day),1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
31,clear (night),1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
32,sunny,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
33,fair (night),1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
34,fair (day),1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
35,mixed rain and hail,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
36,hot,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
37,isolated thunderstorms,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
38,scattered thunderstorms,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
39,scattered thunderstorms,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
40,scattered showers,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
41,heavy snow,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
42,scattered snow showers,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
43,heavy snow,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
44,partly cloudy,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
45,thundershowers,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
46,snow showers,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
47,isolated thundershowers,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
3200,not available,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 15:12:53.873
