
Room events/bookings....
Room - CSB/01/020
Event name, duration, date/time, planned size
CSC1022/PR1/01,120,24.10.2018 09:00:00,200
CSC1022/PR1/01,120,31.10.2018 09:00:00,200
CSC1022/PR1/01,120,07.11.2018 09:00:00,200
CSC1022/PR1/01,120,14.11.2018 09:00:00,200
CSC1022/PR1/01,120,21.11.2018 09:00:00,200
CSC1022/PR1/01,120,28.11.2018 09:00:00,200
CSC1022/PR1/01,120,05.12.2018 09:00:00,200
CSC1022/PR1/01,120,12.12.2018 09:00:00,200
CSC1023/PR1/01,120,21.01.2019 09:00:00,195
CSC1023/PR1/01,120,28.01.2019 09:00:00,195
CSC1023/PR1/01,120,04.02.2019 09:00:00,195
CSC1023/PR1/01,120,11.02.2019 09:00:00,195
CSC1023/PR1/01,120,18.02.2019 09:00:00,195
CSC1023/PR1/01,120,25.02.2019 09:00:00,195
CSC1023/PR1/01,120,04.03.2019 09:00:00,195
CSC1023/PR1/01,120,11.03.2019 09:00:00,195
CSC1023/PR1/01,120,18.03.2019 09:00:00,195
CSC1023/PR1/01,120,25.03.2019 09:00:00,195
CSC1023/PR1/01,120,01.04.2019 09:00:00,195
CSC1023/PR1/02,120,21.01.2019 11:00:00,195
CSC1023/PR1/02,120,28.01.2019 11:00:00,195
CSC1023/PR1/02,120,04.02.2019 11:00:00,195
CSC1023/PR1/02,120,11.02.2019 11:00:00,195
CSC1023/PR1/02,120,18.02.2019 11:00:00,195
CSC1023/PR1/02,120,25.02.2019 11:00:00,195
CSC1023/PR1/02,120,04.03.2019 11:00:00,195
CSC1023/PR1/02,120,11.03.2019 11:00:00,195
CSC1023/PR1/02,120,18.03.2019 11:00:00,195
CSC1023/PR1/02,120,25.03.2019 11:00:00,195
CSC1023/PR1/02,120,01.04.2019 11:00:00,195
CSC2011/PR1/01,60,28.09.2018 14:00:00,200
CSC2011/PR1/02,60,28.09.2018 15:00:00,200
CSC2038/PR1/01,120,21.01.2019 15:00:00,150
CSC2038/PR1/01,120,28.01.2019 15:00:00,150
CSC2038/PR1/01,120,04.02.2019 15:00:00,150
CSC2038/PR1/01,120,11.02.2019 15:00:00,150
CSC2038/PR1/01,120,18.02.2019 15:00:00,150
CSC2038/PR1/01,120,25.02.2019 15:00:00,150
CSC2038/PR1/01,120,04.03.2019 15:00:00,150
CSC2038/PR1/01,120,11.03.2019 15:00:00,150
CSC2038/PR1/01,120,18.03.2019 15:00:00,150
CSC2038/PR1/01,120,25.03.2019 15:00:00,150
CSC2038/PR1/01,120,01.04.2019 15:00:00,150
CSC2040/PR1/01,120,03.10.2018 15:00:00,150
CSC2040/PR1/01,120,10.10.2018 15:00:00,150
CSC2040/PR1/01,120,17.10.2018 15:00:00,150
CSC2040/PR1/01,120,24.10.2018 15:00:00,150
CSC2040/PR1/01,120,31.10.2018 15:00:00,150
CSC2040/PR1/01,120,07.11.2018 15:00:00,150
CSC2040/PR1/01,120,14.11.2018 15:00:00,150
CSC2040/PR1/01,120,21.11.2018 15:00:00,150
CSC2040/PR1/01,120,28.11.2018 15:00:00,150
CSC2040/PR1/01,120,05.12.2018 15:00:00,150
CSC2040/PR1/01,120,12.12.2018 15:00:00,150
CSC2040/PR2/01,120,23.01.2019 15:00:00,150
CSC2040/PR2/01,120,30.01.2019 15:00:00,150
CSC2040/PR2/01,120,06.02.2019 15:00:00,150
CSC2040/PR2/01,120,13.02.2019 15:00:00,150
CSC2040/PR2/01,120,20.02.2019 15:00:00,150
CSC2040/PR2/01,120,27.02.2019 15:00:00,150
CSC2040/PR2/01,120,06.03.2019 15:00:00,150
CSC2040/PR2/01,120,13.03.2019 15:00:00,150
CSC2040/PR2/01,120,20.03.2019 15:00:00,150
CSC2040/PR2/01,120,27.03.2019 15:00:00,150
CSC2040/PR2/01,120,03.04.2019 15:00:00,150
CSC2041/PR1/01,120,05.10.2018 15:00:00,200
CSC2041/PR1/01,120,02.11.2018 15:00:00,200
CSC2041/PR1/01,120,16.11.2018 15:00:00,200
CSC2041/PR1/01,120,30.11.2018 15:00:00,200
CSC2042/PR1/01,120,05.10.2018 13:00:00,200
CSC2042/PR1/01,120,02.11.2018 13:00:00,200
CSC2042/PR1/01,120,16.11.2018 13:00:00,200
CSC2042/PR1/01,120,30.11.2018 13:00:00,200
CSC2042/PR1/02,120,05.10.2018 15:00:00,50
CSC2042/PR1/02,120,02.11.2018 15:00:00,50
CSC2042/PR1/02,120,16.11.2018 15:00:00,50
CSC2042/PR1/02,120,30.11.2018 15:00:00,50
CSC2043/LT2/01,120,26.09.2018 13:00:00,200
CSC2043/LT2/01,120,03.10.2018 13:00:00,200
CSC2043/LT2/01,120,10.10.2018 13:00:00,200
CSC2043/LT2/01,120,17.10.2018 13:00:00,200
CSC2043/LT2/01,120,24.10.2018 13:00:00,200
CSC2043/LT2/01,120,31.10.2018 13:00:00,200
CSC2043/LT2/01,120,07.11.2018 13:00:00,200
CSC2043/LT2/01,120,14.11.2018 13:00:00,200
CSC2043/LT2/01,120,21.11.2018 13:00:00,200
CSC2043/LT2/01,120,28.11.2018 13:00:00,200
CSC2043/LT2/01,120,05.12.2018 13:00:00,200
CSC2043/LT2/01,120,12.12.2018 13:00:00,200
CSC2043/PR1/01,120,01.10.2018 13:00:00,200
CSC2043/PR1/01,120,08.10.2018 13:00:00,200
